EventNumber,TriggerBits,Timestamp
110106,1000111,1989-09-29 14:01:15
110107,11101000,1989-09-29 14:01:15
110108,1000111,1989-09-29 14:01:16
110109,11101000,1989-09-29 14:01:16
110110,11101000,1989-09-29 14:01:17
110111,1000111,1989-09-29 14:01:18
110112,11101000,1989-09-29 14:01:20
110113,11101000,1989-09-29 14:01:21
110114,1000111,1989-09-29 14:01:22
110115,1000111,1989-09-29 14:01:23
110116,1000111,1989-09-29 14:01:24
110117,11101000,1989-09-29 14:01:24
110118,11101000,1989-09-29 14:01:25
110119,1000111,1989-09-29 14:01:25
110120,11101000,1989-09-29 14:01:25
110121,11101000,1989-09-29 14:01:26
110122,1000111,1989-09-29 14:01:26
110123,1000111,1989-09-29 14:01:27
110124,1000111,1989-09-29 14:01:27
110125,11101000,1989-09-29 14:01:28
110126,1000111,1989-09-29 14:01:28
110127,11101000,1989-09-29 14:01:28
110128,1000111,1989-09-29 14:01:28
110129,1000111,1989-09-29 14:01:29
110130,1000111,1989-09-29 14:01:29
110131,11101000,1989-09-29 14:01:29
110132,1000111,1989-09-29 14:01:30
110133,11101000,1989-09-29 14:01:30
110134,1000111,1989-09-29 14:01:31
110135,1000111,1989-09-29 14:01:31
110136,11101000,1989-09-29 14:01:33
110137,1000111,1989-09-29 14:01:33
110138,1000111,1989-09-29 14:01:34
110139,1000111,1989-09-29 14:01:34
110140,11101000,1989-09-29 14:01:34
110141,1000111,1989-09-29 14:01:36
110142,1000111,1989-09-29 14:01:36
110143,1000111,1989-09-29 14:01:37
110144,11101000,1989-09-29 14:01:37
110145,11101000,1989-09-29 14:01:39
110146,11101000,1989-09-29 14:01:40
110147,1000111,1989-09-29 14:01:41
110148,1000111,1989-09-29 14:01:42
110149,11101000,1989-09-29 14:01:44
110150,11101000,1989-09-29 14:01:45
110151,11101000,1989-09-29 14:01:46
110152,1000111,1989-09-29 14:01:47
110153,1000111,1989-09-29 14:01:48
110154,11101000,1989-09-29 14:01:48
110155,11101000,1989-09-29 14:01:50
110156,1000111,1989-09-29 14:01:50
110157,11101000,1989-09-29 14:01:51
110158,11101000,1989-09-29 14:01:52
110159,11101000,1989-09-29 14:01:52
110160,1000111,1989-09-29 14:01:53
110161,11101000,1989-09-29 14:01:54
110162,1000111,1989-09-29 14:01:54
110163,1000111,1989-09-29 14:01:54
110164,11101000,1989-09-29 14:01:55
110165,1000111,1989-09-29 14:01:55
110166,1000111,1989-09-29 14:01:56
110167,1000111,1989-09-29 14:01:58
110168,11101000,1989-09-29 14:01:59
